carioca_id,carioca_titulo,carioca_descricao,carioca_url,carioca_link_direto,carioca_orgao,carioca_tipo,carioca_categoria,1746_id,1746_titulo,1746_descricao,1746_url,1746_tipo,1746_categoria,similaridade,similaridade_percentual,classificacao
257,Análise de Impacto no Sistema Viário,Abertura de processo administrativo para análise do impacto viário em licenciamento de obras e projetos ou Pólos Geradores de Viagens.,https://carioca.rio/servicos/analise-de-impacto-no-sistema-viario/,https://cetrio.prefeitura.rio/analise-de-impacto-viario/,Companhia de Engenharia de Tráfego do Rio de Janeiro - CET-RIO,servico,Transporte,10872360223259,Análise de impacto no sistema viário,Abertura de processo administrativo para análise do impacto viário em licenciamento de obras e projetos ou Pólos Geradores de Viagens.,https://www.1746.rio/hc/pt-br/articles/10872360223259-An%C3%A1lise-de-impacto-no-sistema-vi%C3%A1rio,servico,Transporte,1.0,100.0%,IDÊNTICO
68621,Poda de árvore em logradouro,"Avaliação por Engenheiro Florestal ou Agrônomo da necessidade de poda da árvore em logradouro público, para, em caso de aprovação, ser feito o manejo arbóreo de acordo com o laudo técnico.",https://carioca.rio/servicos/poda-de-arvore-em-logradouro/,https://www.1746.rio/hc/pt-br/articles/10735592490523-Poda-de-%C3%A1rvore-em-logradouro?article-id=10735592490523,Companhia Municipal de Limpeza Urbana - COMLURB,servico,Ambiente,10220671680795,Poda de árvore em logradouro,"Avaliação por Engenheiro Florestal ou Agrônomo da necessidade de poda da árvore em logradouro público, para, em caso de aprovação, ser feito o manejo arbóreo de acordo com o laudo técnico.",https://www.1746.rio/hc/pt-br/articles/10220671680795-Poda-de-%C3%A1rvore-em-logradouro,servico,Ambiente,1.0,100.0%,IDÊNTICO
68621,Poda de árvore em logradouro,"Avaliação por Engenheiro Florestal ou Agrônomo da necessidade de poda da árvore em logradouro público, para, em caso de aprovação, ser feito o manejo arbóreo de acordo com o laudo técnico.",https://carioca.rio/servicos/poda-de-arvore-em-logradouro/,https://www.1746.rio/hc/pt-br/articles/10735592490523-Poda-de-%C3%A1rvore-em-logradouro?article-id=10735592490523,Companhia Municipal de Limpeza Urbana - COMLURB,servico,Ambiente,10735592490523,Poda de árvore em logradouro,"Avaliação por Engenheiro Florestal ou Agrônomo da necessidade de poda da árvore em logradouro público, para, em caso de aprovação, ser feito o manejo arbóreo de acordo com o laudo técnico.",https://www.1746.rio/hc/pt-br/articles/10735592490523-Poda-de-%C3%A1rvore-em-logradouro,servico,Ambiente,1.0,100.0%,IDÊNTICO
68642,Reparo de sinal de trânsito apagado,"Manutenção de sinais de trânsito com cruzamento todo apagado, com uma rua do cruzamento apagada, com a travessia de pedestres apagada, com uma ou mais lâmpadas queimadas.",https://carioca.rio/servicos/reparo-de-sinal-de-transito-apagado-ou-em-amarelo-piscante/,https://www.1746.rio/hc/pt-br/articles/10220783937691-Reparo-de-sinal-de-tr%C3%A2nsito-apagado,Companhia de Engenharia de Tráfego do Rio de Janeiro - CET-RIO,servico,Transporte,10220783937691,Reparo de sinal de trânsito apagado,"Manutenção de sinais de trânsito com cruzamento todo apagado, com uma rua do cruzamento apagada, com a travessia de pedestres apagada, com uma ou mais lâmpadas queimadas.",https://www.1746.rio/hc/pt-br/articles/10220783937691-Reparo-de-sinal-de-tr%C3%A2nsito-apagado,servico,Transporte,1.0,100.0%,IDÊNTICO
68646,Capina em logradouro,Retirada de mato crescente em logradouros públicos.,https://carioca.rio/servicos/capina-em-logradouro/,https://www.1746.rio/hc/pt-br/articles/10221022905115-Capina-em-logradouro?article-id=10221022905115,Companhia Municipal de Limpeza Urbana - COMLURB,servico,Cidade,10221022905115,Capina em logradouro,Retirada de mato crescente em logradouros públicos.,https://www.1746.rio/hc/pt-br/articles/10221022905115-Capina-em-logradouro,servico,Cidade,1.0,100.0%,IDÊNTICO
70965,Informações sobre gratuidade no transporte complementar,Informações sobre o direito à gratuidade previsto na Lei 2.910/1999. (vans e kombis).,https://carioca.rio/servicos/informacoes-sobre-gratuidade-no-transporte-complementar/,https://www.1746.rio/portal/servicos/informacao?conteudo=1169,Secretaria Municipal de Transportes - SMTR,informacao,Transporte,9674733595803,Informações sobre gratuidade no transporte complementar,Informações sobre o direito à gratuidade previsto na Lei 2.910/1999. ( vans e kombis ).,https://www.1746.rio/hc/pt-br/articles/9674733595803-Informa%C3%A7%C3%B5es-sobre-gratuidade-no-transporte-complementar,informacao,Transporte,1.0,100.0%,IDÊNTICO
70965,Informações sobre gratuidade no transporte complementar,Informações sobre o direito à gratuidade previsto na Lei 2.910/1999. (vans e kombis).,https://carioca.rio/servicos/informacoes-sobre-gratuidade-no-transporte-complementar/,https://www.1746.rio/portal/servicos/informacao?conteudo=1169,Secretaria Municipal de Transportes - SMTR,informacao,Transporte,10246613308059,Informações sobre gratuidade no transporte complementar,Informações sobre o direito à gratuidade previsto na Lei 2.910/1999. ( vans e kombis ).,https://www.1746.rio/hc/pt-br/articles/10246613308059-Informa%C3%A7%C3%B5es-sobre-gratuidade-no-transporte-complementar,informacao,Transporte,1.0,100.0%,IDÊNTICO
70965,Informações sobre gratuidade no transporte complementar,Informações sobre o direito à gratuidade previsto na Lei 2.910/1999. (vans e kombis).,https://carioca.rio/servicos/informacoes-sobre-gratuidade-no-transporte-complementar/,https://www.1746.rio/portal/servicos/informacao?conteudo=1169,Secretaria Municipal de Transportes - SMTR,informacao,Transporte,10869958808219,Informações sobre gratuidade no transporte complementar,Informações sobre o direito à gratuidade previsto na Lei 2.910/1999. ( vans e kombis ).,https://www.1746.rio/hc/pt-br/articles/10869958808219-Informa%C3%A7%C3%B5es-sobre-gratuidade-no-transporte-complementar,informacao,Transporte,1.0,100.0%,IDÊNTICO
70550,Limpeza de ralos,"Limpeza exclusivamente de caixa de ralos, com a retirada superficial de terra, areia, detritos e outros resíduos das caixas de ralos, para a normalização do fluxo das galerias pluviais.",https://carioca.rio/servicos/limpeza-de-ralos/,https://www.1746.rio/hc/pt-br/articles/10734938539419-Limpeza-de-ralos?article-id=10734938539419,Companhia Municipal de Limpeza Urbana - COMLURB,servico,Cidade,10734938539419,Limpeza de ralos,"Limpeza exclusivamente de caixa de ralos , com a retirada superficial de terra, areia, detritos e outros resíduos das caixas de ralos, para a normalização do fluxo das galerias pluviais.",https://www.1746.rio/hc/pt-br/articles/10734938539419-Limpeza-de-ralos,servico,Cidade,1.0,100.0%,IDÊNTICO
71070,Varrição de Logradouro,"Limpeza da rua suja, com folhas, lixo, resíduo sólido, compreendendo os serviços de varrição (varrer), retirada de capim na sarjeta e entre os paralelepípedos, raspagem de lama e limpeza da caixa cole...",https://carioca.rio/servicos/varricao-de-logradouro/,https://www.1746.rio/hc/pt-br/articles/10735195018011-Varri%C3%A7%C3%A3o-de-logradouro?article-id=10735195018011,Companhia Municipal de Limpeza Urbana - COMLURB,servico,Cidade,10735195018011,Varrição de logradouro,"Limpeza da rua suja, com folhas, lixo, resíduo sólido, compreendendo os serviços de varrição ( varrer ), retirada de capim na sarjeta e entre os paralelepípedos, raspagem de lama e limpeza da caixa co...",https://www.1746.rio/hc/pt-br/articles/10735195018011-Varri%C3%A7%C3%A3o-de-logradouro,servico,Cidade,1.0,100.0%,IDÊNTICO
70713,"Limpeza de papeleira, contêiner e caçamba da COMLURB","Limpeza de papeleira (lixeira acoplada em poste), contêiner e caçamba da COMLURB com lixo excedente, instalados em logradouro ou área pública.",https://carioca.rio/servicos/limpeza-de-papeleira-conteiner-e-cacamba-comlurb/,https://www.1746.rio/hc/pt-br/articles/10734897643291-Limpeza-de-papeleira-cont%C3%AAiner-e-ca%C3%A7amba-da-COMLURB?article-id=10734897643291,Companhia Municipal de Limpeza Urbana - COMLURB,servico,Cidade,10734897643291,"Limpeza de papeleira, contêiner e caçamba da COMLURB","Limpeza de papeleira (lixeira acoplada em poste), contêiner e caçamba da COMLURB com lixo excedente, instalados em logradouro ou área pública.",https://www.1746.rio/hc/pt-br/articles/10734897643291-Limpeza-de-papeleira-cont%C3%AAiner-e-ca%C3%A7amba-da-COMLURB,servico,Cidade,1.0,100.0%,IDÊNTICO
70740,Limpeza das Margens de Rios,"Limpeza das margens de rios sem talude definido (revestimento de concreto ou pedras) para retirada de resíduos sólidos inertes (lixo, entulho e animais mortos) e roçada.",https://carioca.rio/servicos/limpeza-das-margens-de-rios/,https://www.1746.rio/hc/pt-br/articles/10734756220315-Limpeza-das-margens-de-rios?article-id=10734756220315,Companhia Municipal de Limpeza Urbana - COMLURB,servico,Ambiente,10734756220315,Limpeza das margens de rios,"Limpeza das margens de rios sem talude definido (revestimento de concreto ou pedras) para retirada de resíduos sólidos inertes (lixo, entulho e animais mortos) e roçada.",https://www.1746.rio/hc/pt-br/articles/10734756220315-Limpeza-das-margens-de-rios,servico,Ambiente,1.0,100.0%,IDÊNTICO
70756,Notificação ao Proprietário para Limpeza de resíduos em Terreno Baldio,"Tentativa de identificação do proprietário do terreno para emissão de notificação, visando à realização da limpeza do terreno (retirada de lixo, entulho e outros resíduos), e aplicação de multa, caso ...",https://carioca.rio/servicos/notificacao-ao-proprietario-para-limpeza-de-residuos-em-terreno-baldio/,https://www.1746.rio/hc/pt-br/articles/10735057343003-Notifica%C3%A7%C3%A3o-ao-propriet%C3%A1rio-para-limpeza-de-res%C3%ADduos-em-terreno-baldio?article-id=10735057343003,Companhia Municipal de Limpeza Urbana - COMLURB,informacao,Cidade,10735057343003,Notificação ao proprietário para limpeza de resíduos em terreno baldio,"Tentativa de identificação do proprietário do terreno para emissão de notificação, visando à realização da limpeza do terreno (retirada de lixo, entulho e outros resíduos), e aplicação de multa, caso ...",https://www.1746.rio/hc/pt-br/articles/10735057343003-Notifica%C3%A7%C3%A3o-ao-propriet%C3%A1rio-para-limpeza-de-res%C3%ADduos-em-terreno-baldio,servico,Cidade,1.0,100.0%,IDÊNTICO
70763,Remoção de resíduos de poda,"Remoção de resíduo de poda de vegetal, realizada pela operação de poda a pé da COMLURB, que consiste na retirada de brotos e ramos das árvores, localizados até 4 metros de altura.",https://carioca.rio/servicos/remocao-de-residuos-de-poda/,https://www.1746.rio/hc/pt-br/articles/10735131383451-Remo%C3%A7%C3%A3o-de-res%C3%ADduos-de-poda?article-id=10735131383451,Companhia Municipal de Limpeza Urbana - COMLURB,servico,Cidade,10735131383451,Remoção de resíduos de poda,"Remoção de resíduo de poda de vegetal, realizada pela operação de poda a pé da COMLURB, que consiste na retirada de brotos e ramos das árvores, localizados até 4 metros de altura.",https://www.1746.rio/hc/pt-br/articles/10735131383451-Remo%C3%A7%C3%A3o-de-res%C3%ADduos-de-poda,servico,Cidade,1.0,100.0%,IDÊNTICO
70797,Remoção de animais mortos no logradouro,"Remoção de animais mortos em logradouro (cachorro, cavalo, gato, boi, vaca, porco etc.).",https://carioca.rio/servicos/remocao-de-animais-mortos-em-logradouro/,https://www.1746.rio/hc/pt-br/articles/10735113229467-Remo%C3%A7%C3%A3o-de-animais-mortos-no-logradouro?article-id=10735113229467,Companhia Municipal de Limpeza Urbana - COMLURB,informacao,Cidade,10735113229467,Remoção de animais mortos no logradouro,"Remoção de animais mortos em logradouro (cachorro, cavalo, gato, boi, vaca, porco etc.)",https://www.1746.rio/hc/pt-br/articles/10735113229467-Remo%C3%A7%C3%A3o-de-animais-mortos-no-logradouro,servico,Cidade,1.0,100.0%,IDÊNTICO
