Nome do serviço,ID do serviço,Categoria da URL,Total Geral
CADRio Agendamento,92294,/termos,639095
Informações sobre o Cadastro Único,72307,/servicos,73764
IPTU 2025,84670,/servicos,58478
CADRio Agendamento,92294,/servicos,51286
Alvará - Consulta Prévia de Local,68871,/servicos,21236
CADRio Agendamento,92294,home,12864
IPTU - Certidão de Situação Fiscal e Enfitêutica,83607,/servicos,12701
IPTU 2025,84670,home,9978
IPTU 2024 e anteriores - cobrança na Fazenda,84702,/servicos,6743
Dívida Ativa - Consultar débitos de IPTU,68760,home,4863
ITBI – Simulação de Valor e Pedido de Guia,83019,/servicos,4813
ISS – Comprovante de Inscrição e de Situação Cadastral,84401,/servicos,4675
Alvará - Consulta Prévia de Local,68871,/grupo,4274
ISS - Certidão de Situação Fiscal,83206,/servicos,3499
IPTU - Parcelamento 2024 – Solicitação e emissão de boletos,80078,/servicos,3023
IPTU - Certidão de Elementos Cadastrais,83603,/servicos,2998
Dívida Ativa - Consultar débitos de IPTU,68760,/servicos,2871
Licença Sanitária de Funcionamento,69823,/servicos,2773
Parcelamento em dívida ativa,82000,/servicos,2679
Multa de Trânsito - Consulta de Multa,71034,/servicos,2661
SMPDA - Programa Bicho Rio - Esterilização gratuita de cães e gatos,86797,/objetivo,2601
ITBI - Emissão da certidão de pagamento,83015,/servicos,2308
Multa de Trânsito - Consulta de Multa,71034,home,2130
ITBI - Impressão de guia para pagamento,83781,/servicos,2110
ISS - Emissão de DARM para pagamento,86169,/servicos,2022
ITBI - Consulta de protocolo / guia,83745,/servicos,1927
Cartão de Estacionamento para Idoso,69155,home,1698
Emissão de certidão de dívida ativa,81974,/servicos,1681
Multa de Trânsito - Defesa Prévia de Autuação,69642,/servicos,1640
Informações sobre avaliação de aluno incluído,102699,/objetivo,1616
CADRio Agendamento,92294,/busca,1573
Pagamento à vista em dívida ativa,82010,/servicos,1497
IPTU – Certidão de Pagamentos e débito automático,85080,/servicos,1372
Cartão de Estacionamento para Idoso,69155,/servicos,1239
Licenciamento de eventos - Autorização Transitória,69052,/servicos,1177
IPTU – Notificação de Lançamento (inclusive guias extraordinárias),84393,/servicos,1109
Consultar Declaração de Escolaridade,68687,home,1099
Consultar Declaração de Escolaridade,68687,/servicos,1068
Multa de Trânsito - Consulta de Multa,71034,/objetivo,1058
ISS - Baixa da inscrição municipal de prestador de serviço ou exclusão de todas atividades de serviços,84302,/servicos,958
Concessão de alvará de licença de estabelecimento pela internet,69572,/busca,944
ISS - Programa Carioca em Dia,105600,/servicos,898
IPTU – Certidão de Valor Venal,84365,/servicos,893
IPTU – Formulário de Alteração de Titularidade para Entrega ao Registro de Imóveis,84746,/servicos,887
Censo Cadastral  Previdenciário - Previ-Rio,103922,/busca,881
Informações sobre os Centro de Referência de Assistência Social – CRAS,72415,/servicos,839
IPTU – Consulta a logradouros do Município do Rio de Janeiro,84727,/servicos,775
Informações sobre gratuidade em ônibus,70945,/servicos,772
Alvará a Jato,91037,/servicos,747
Informações sobre o Programa Bolsa Família,72315,/busca,747
SMPDA - Programa Bicho Rio - Esterilização gratuita de cães e gatos,86797,/servicos,726
Alvará - Consulta Prévia de Local,68871,/objetivo,710
Multa de Trânsito - Cancelamento (1ª Instância),70980,/grupo,705
Agendamento on-line para castração de cães e gatos - IVISA-RIO,79495,home,659
ISS – Confissão de dívida ou Parcelamento / Reparcelamento de débito não inscrito em dívida ativa,85315,/servicos,652
Cadastro e acesso ao Portal Carioca Digital,77560,/servicos,621
Autorização / legalização de comércio ambulante,77302,/servicos,619
Informações sobre gratuidade em ônibus,70945,home,585
Cartão de estacionamento para pessoas com deficiência – PCD,70874,/servicos,574
Pesquisa de existência de alvará,78566,/servicos,570
Atendimento clínico consultas e exames em animais,72777,/servicos,534
Censo Cadastral  Previdenciário - Previ-Rio,103922,/servicos,533
Alvará - Consulta Prévia de Local,68871,/busca,527
Autorização para exibição de publicidade,78153,/busca,517
Contracheque de servidor inativo e pensionista,77349,/servicos,487
ISS - Emissão de DARM de ISS trimestral de contribuintes autônomos,84274,/servicos,484
Alvará de Licença de Estabelecimento - Recurso de Consulta Prévia,69579,/busca,482
ITBI - Consulta de protocolo / guia,83745,home,470
Consultar Validade de Contracheque,68596,/grupo,466
Informações sobre a Jaé,91583,/servicos,463
IPTU – Alteração de nome do proprietário,84708,/servicos,458
Licença Sanitária de Funcionamento,69823,/grupo,451
Solicitação de orientações sobre o alvará pela internet,70336,/servicos,425
IPTU – Atualização de CPF/CNPJ,86251,/servicos,413
Consulta de Multas por Permissão em Taxi,91841,/objetivo,410
ITBI - Autenticação da certidão de pagamento,83729,/servicos,386
Consultar Minhas Solicitações,89017,/busca,383
Informações sobre o Programa Bolsa Família,72315,/servicos,377
Solicitação de orientações sobre o alvará pela internet,70336,/objetivo,361
Emissão de Guia de Pagamento de Dívida Ativa em Atraso,82013,/servicos,360
Segunda via de alvará,68976,/objetivo,356
Informações sobre o Plano de Saúde do Servidor Municipal - PSSM,77318,/servicos,352
Solicitação de serviços para os povos e comunidades tradicionais,93368,/tema,347
Permissão Especial de Estacionamento para Veículos de Carga e Descarga de Mudanças Residenciais,71837,/servicos,344
Legislação Bairro a Bairro (Relatório de Informações Urbanísticas),71504,/servicos,339
Liberação de veículos rebocados,76684,/servicos,323
Licenciamento de eventos - Autorização Transitória,69052,/busca,323
Parcelamento em dívida ativa,82000,/objetivo,322
Multa de Trânsito - Solicitação de Cópia do Auto de Infração (AIT ou Foto),71525,/objetivo,319
Autorização para exibição de publicidade,78153,/servicos,317
Minhas Empresas/Cadastrar Procurador de Empresa,68859,/servicos,316
Cadastramento para obtenção de Riocard Especial,71784,/servicos,301
"ISS - Profissional Autônomo: Autônomo Estabelecido, Autônomo Equiparado a Empresa e Autônomo não Estabelecido",86165,/servicos,295
ISS - Consulta de Pendências com o Fisco Municipal para Ingresso no Simples Nacional,83216,/servicos,295
Informações sobre processos da Rio-Águas,77868,/termos,290
ISS - Programa Carioca em Dia,105600,/tema,288
ITBI - Retificação de dados da guia paga (folha suplementar),83927,/servicos,286
Incluir Aluno para acompanhamento escolar,68617,/busca,286
Vistoria Veicular e Atualização Documental - Táxi,70382,/busca,284
Contracheque de servidor inativo e pensionista,77349,/busca,281
Material Rioeduca,90643,/servicos,280
Cadastro e acesso ao Portal Carioca Digital,77560,/busca,272
Licença Sanitária de Funcionamento,69823,/busca,268
Dívida Ativa - Consultar débitos de IPTU,68760,/grupo,266
Certidão Negativa de Débito (nada consta),76418,/servicos,265
Parcelamento em dívida ativa,82000,/grupo,263
Consultar Certidão de Habite-se/Aceitação,82661,/servicos,262
Vistoria Veicular e Atualização Documental - Táxi,70382,/servicos,251
ISS - Emissão de nota fiscal eletrônica – Nota Carioca,83212,/servicos,250
Emissão Guia de Liquidação de Parcelamento,74652,/grupo,246
SMPDA - Programa Bicho Rio - Esterilização gratuita de cães e gatos,86797,/busca,245
Licença Sanitária de Funcionamento,69823,/tema,244
ISS - Baixa de autônomos estabelecidos,84266,/servicos,230
Cartão de Estacionamento para Idoso,69155,/objetivo,226
Multa de Trânsito – 2ª Instância,89838,/servicos,222
Certidão Negativa de Débito (nada consta),76418,/busca,221
Remoção de entulho e bens inservíveis,68561,/servicos,214
Consultar Minhas Solicitações,89017,/objetivo,214
Multa de Trânsito - Informações sobre como pagar,91939,/servicos,212
Multa de Trânsito - Cancelamento (1ª Instância),70980,/servicos,212
Consultar Minhas Solicitações,89017,/servicos,210
Atendimento em Unidades de Atenção Primária em Saúde,71165,/servicos,208
Requerimento de Cópia Digital de Planta de Arquitetura,82735,/servicos,207
Emissão de certidão de dívida ativa,81974,/busca,207
ISS - Programa Carioca em Dia,105600,/objetivo,206
Multa de Trânsito - Acompanhamento de Recurso,101260,/servicos,206
ISS - Valor atualizado de débito (não inscrito em Dívida Ativa),105077,/tema,202
Fiscalização de perturbação do sossego,68674,/servicos,200
ISS - Acompanhamento da formalização da opção pelo Simples Nacional,88902,/servicos,200
Autorização / legalização de comércio ambulante,77302,/busca,200
